FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,2010,2018,2020
A,Annual,ALB,Albania,WB_HCI_TEST,Harmonized Test Scores,F,Female,SCORE,Score,WB_HCI,Human Capital Index (HCI),0,Units,414.9865417,445.0104065,444.3222656
A,Annual,ALB,Albania,WB_HCI_TEST,Harmonized Test Scores,M,Male,SCORE,Score,WB_HCI,Human Capital Index (HCI),0,Units,380.3520813,413.5842896,424.344635
A,Annual,ALB,Albania,WB_HCI_TEST,Harmonized Test Scores,_T,Total,SCORE,Score,WB_HCI,Human Capital Index (HCI),0,Units,397.2268677,429.32901,434.127594
A,Annual,ARE,United Arab Emirates,WB_HCI_ASR,Adult Survival Rate,F,Female,U,Unitless,WB_HCI,Human Capital Index (HCI),0,Units,0.941495717,0.954503179,0.955770433
A,Annual,ARE,United Arab Emirates,WB_HCI_ASR,Adult Survival Rate,M,Male,U,Unitless,WB_HCI,Human Capital Index (HCI),0,Units,0.914935291,0.929506898,0.931383967
A,Annual,ARE,United Arab Emirates,WB_HCI_ASR,Adult Survival Rate,_T,Total,U,Unitless,WB_HCI,Human Capital Index (HCI),0,Units,0.921810865,0.936866999,0.938642502
A,Annual,ARE,United Arab Emirates,WB_HCI_EYRS,Expected Years of School,F,Female,YR,Years,WB_HCI,Human Capital Index (HCI),0,Units,12.52616596,13.1702652,13.1702652
A,Annual,ARE,United Arab Emirates,WB_HCI_EYRS,Expected Years of School,M,Male,YR,Years,WB_HCI,Human Capital Index (HCI),0,Units,12.21733665,13.72001171,13.72001171
A,Annual,ARE,United Arab Emirates,WB_HCI_EYRS,Expected Years of School,_T,Total,YR,Years,WB_HCI,Human Capital Index (HCI),0,Units,12.3644619,13.45580578,13.45580578
A,Annual,ARE,United Arab Emirates,WB_HCI_HCI,Human Capital Index (scale 0-1),F,Female,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.65252167,0.687744379,0.687648952
A,Annual,ARE,United Arab Emirates,WB_HCI_HCI,Human Capital Index (scale 0-1),M,Male,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.597351372,0.667604268,0.660949111
A,Annual,ARE,United Arab Emirates,WB_HCI_HCI,Human Capital Index (scale 0-1),_T,Total,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.621274054,0.676001251,0.673011899
A,Annual,ARE,United Arab Emirates,WB_HCI_HCI_LOWER,"Human Capital Index, Lower Bound (scale 0-1)",F,Female,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.642313182,0.67405349,0.675410688
A,Annual,ARE,United Arab Emirates,WB_HCI_HCI_LOWER,"Human Capital Index, Lower Bound (scale 0-1)",M,Male,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.584477484,0.650748253,0.647887886
A,Annual,ARE,United Arab Emirates,WB_HCI_HCI_LOWER,"Human Capital Index, Lower Bound (scale 0-1)",_T,Total,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.610539436,0.663467944,0.661788404
A,Annual,ARE,United Arab Emirates,WB_HCI_HCI_UPPER,"Human Capital Index, Upper Bound (scale 0-1)",F,Female,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.662206173,0.700840771,0.699599683
A,Annual,ARE,United Arab Emirates,WB_HCI_HCI_UPPER,"Human Capital Index, Upper Bound (scale 0-1)",M,Male,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.610293567,0.684188783,0.673392832
A,Annual,ARE,United Arab Emirates,WB_HCI_HCI_UPPER,"Human Capital Index, Upper Bound (scale 0-1)",_T,Total,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.631448925,0.688020229,0.683658004
